Alabama,4902604,4903185,32.377716,-86.300568
Alaska,730571,731545,58.301598,-134.420212
Arizona,7279601,7278717,33.448143,-112.096962
Arkansas,3017356,3017804,34.746613,-92.288986
California,39511672,39512223,38.576668,-121.493629
Colorado,5757763,5758736,39.739227,-104.984856
Connecticut,3564683,3565287,41.764046,-72.682198
Delaware,974094,973764,39.157307,-75.519722
District of Columbia,705045,705749,38.89511,-77.03637
Florida,21477268,21477737,30.438118,-84.281296
Georgia,10618068,10617423,33.749027,-84.388229
Hawaii,1414906,1415872,21.307442,-157.857376
Idaho,1787354,1787065,43.617775,-116.199722
Illinois,12672075,12671821,39.798363,-89.654961
Indiana,6732260,6732219,39.768623,-86.162643
Iowa,3155455,3155070,41.591087,-93.603729
Kansas,2913523,2913314,39.048191,-95.677956
Kentucky,4467451,4467673,38.186722,-84.875374
Louisiana,4649638,4648794,30.457069,-91.187393
Maine,1344826,1344212,44.307167,-69.781693
Maryland,6044752,6045680,38.978764,-76.490936
Massachusetts,6893223,6892503,42.358162,-71.063698
Michigan,9987692,9986857,42.733635,-84.555328
Minnesota,5638689,5639632,44.955097,-93.102211
Mississippi,2975863,2976149,32.303848,-90.182106
Missouri,6136586,6137428,38.579201,-92.172935
Montana,1068138,1068778,46.585709,-112.018417
Nebraska,1934638,1934408,40.808075,-96.699654
Nevada,3080561,3080156,39.163914,-119.766121
New Hampshire,1360017,1359711,43.206898,-71.537994
New Jersey,8883022,8882190,40.220596,-74.769913
New Mexico,2097822,2096829,35.68224,-105.939728
New York,19453391,19453561,42.652843,-73.757874
North Carolina,10487365,10488084,35.78043,-78.639099
North Dakota,761400,762062,46.82085,-100.783318
Ohio,11688353,11689100,39.961346,-82.999069
Oklahoma,3956591,3956971,35.492207,-97.503342
Oregon,4218054,4217737,44.938461,-123.030403
Pennsylvania,12801891,12801989,40.264378,-76.883598
Rhode Island,1058638,1059361,41.830914,-71.414963
South Carolina,5148645,5148714,34.000343,-81.033211
South Dakota,884902,884659,44.367031,-100.346405
Tennessee,6828626,6829174,36.16581,-86.784241
Texas,28995660,28995881,30.27467,-97.740349
Utah,3205019,3205958,40.777477,-111.888237
Vermont,624965,623989,44.262436,-72.580536
Virginia,8534655,8535519,37.538857,-77.43364
Washington,7615224,7614893,47.035805,-122.905014
West Virginia,1791615,1792147,38.336246,-81.612328
Wisconsin,5821765,5822434,43.074684,-89.384445
Wyoming,578536,578759,41.140259,-104.820236